DOI,Year,Title,Journal,Reason
10.1016/j.buildenv.2020.107153,2020,An integrated low-energy ventilation system to improve indoor environment performance of school buildings in the cold climate zone of China,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110319,2020,Optimization of night ventilation performance in office buildings in a cold climate,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110272,2020,Energy analysis of three ventilation systems for a large machining plant,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.109822,2020,Ventilation measures for heritage office buildings in temperate climate for improvement of energy performance and IEQ,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2020.101651,2020,Studies on the thermal environment and natural ventilation in the industrial building spaces enclosed by fabric membranes: A case study,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.106735,2020,Theoretical model of buoyancy-driven air infiltration during heating/cooling seasons in large space buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2020.115845,2020,Analysing natural ventilation to reduce the cooling energy consumption and the fuel poverty of social dwellings in coastal zones,Applied Energy,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.109781,2020,Influence of air-conditioning systems on buoyancy driven air infiltration in large space buildings: A case study of a railway station,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110440,2020,Investigation of mechanical ventilation for cooling in high-rise buildings,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.scitotenv.2020.139356,2020,Impact of building ventilation systems and habitual indoor incense burning on SARS-CoV-2 virus transmissions in Middle Eastern countries,Science of The Total Environment,Eliminated – Ventilation/IAQ only
10.1016/j.scs.2020.102290,2020,Air infiltration rate of typical zones of public buildings under natural conditions,Sustainable Cities and Society,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.109866,2020,"Optimal modification of heating, ventilation, and air conditioning system performances in residential buildings using the integration of metaheuristic optimization and neural computing",Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.106700,2020,Regional difference and related cooling electricity savings of air pollutant affected natural ventilation in commercial buildings across the US,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2019.116577,2020,The contribution of ventilation on the energy performance of small residential buildings in the Mediterranean region,Energy,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.109867,2020,Assessment of peak power demand reduction available via modulation of building ventilation systems.,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2019.106600,2020,Operating behavior and corresponding performance of mechanical ventilation systems in Chinese residential buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2019.100955,2020,A computationally efficient method for fault diagnosis of fan-coil unit terminals in building Heating Ventilation and Air Conditioning systems,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.renene.2019.11.148,2020,Impact of neighbourhood-scale climate characteristics on building heating demand and night ventilation cooling potential,Renewable Energy,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.107265,2020,Performance analysis of a hybrid ventilation system in a near zero energy building,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.107185,2020,Impact of fan mixing on air pollutant exposure near indoor sources: An analytical model to connect proximity effect with energy,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.106930,2020,3D real-time volumetric particle tracking velocimetry – A promising tool for studies of airflow around high-rise buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.107183,2020,Comparison of winter air infiltration and its influences between large-space and normal-space buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2019.109547,2020,Lessons learned from implementing night ventilation of mass in a next-generation smart building,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.applthermaleng.2020.115555,2020,Ventilation and air conditioning system of deep-buried subway station in sub-tropical climates: Energy-saving strategies,Applied Thermal Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2020.117103,2020,Influence of ventilation-behavior during off-periods on energy-consumption for an intermittently heated room of dormitory buildings,Energy,Eliminated – Ventilation/IAQ only
10.1016/j.ijheatmasstransfer.2019.118865,2020,Energy flow-based method for analysis and optimization of evaporative cooling and ventilation systems,International Journal of Heat and Mass Transfer,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2019.109674,2020,Experimental study on the performance of hybrid buoyancy-driven natural ventilation with a mechanical exhaust system in an industrial building,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2020.101391,2020,Primary energy and economic implications of ventilation heat recovery for a multi-family building in a Nordic climate,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2019.106483,2020,Identifying stack-driven indoor environmental problems and associated pressure difference in high-rise residential buildings: Airflow noise and draft,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.106897,2020,Experimental and numerical investigation of pumping ventilation on the leeward side of a cubic building,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.scs.2020.102280,2020,Energy benefit of organic Rankine cycle in high-rise apartment building served by centralized liquid desiccant and evaporative cooling-assisted ventilation system,Sustainable Cities and Society,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110597,2021,Potential and practical management of hybrid ventilation in buildings,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2021.116848,2021,A fresh (air) look at ventilation for COVID-19: Estimating the global energy savings potential of coupling natural ventilation with novel radiant cooling strategies,Applied Energy,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2020.107509,2021,Simplified direct forcing approach for dynamic modeling of building natural ventilation,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.107798,2021,Numerical study on thermal stratification for impinging jet ventilation system in office buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.108040,2021,Residential building ventilation in situations with outdoor PM<ce:inf loc=post>2.5</ce:inf> pollution,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2020.101901,2021,Experimental and numerical analysis of airflow around a building model with an array of domes,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2021.111466,2021,Interplay of building efficiency and households’ ventilation behaviour: Evidence of an inverse U-shaped correlation,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2020.101852,2021,Research on the effect of different position on classroom ventilation in a “L” type teaching building,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2020.119175,2021,Energy saving potential for space heating in Chinese airport terminals: The impact of air infiltration,Energy,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2020.110694,2021,Energy and exergy analyze of different air distributions in a residential building,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.rser.2021.111284,2021,Dwelling infiltration and heating energy demand in multifamily high-rise and low-energy buildings in Korea,Renewable and Sustainable Energy Reviews,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.107783,2021,Evaluating potential benefits of air barriers in commercial buildings using NIST infiltration correlations in EnergyPlus,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.solener.2021.10.025,2021,On the cooling potential of elastocaloric devices for building ventilation,Solar Energy,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.107722,2021,Natural ventilation in London: Towards energy-efficient and healthy buildings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.107837,2021,"Field study to characterize customer flow and ventilation rates in retail buildings in Shenzhen, China",Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2021.102255,2021,Ventilation of buildings with heat recovery systems: Thorough energy and exergy analysis for indoor thermal wellness,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.scitotenv.2021.147764,2021,Natural ventilation strategy and related issues to prevent coronavirus disease 2019 (COVID-19) airborne transmission in a school building,Science of The Total Environment,Eliminated – Ventilation/IAQ only
10.1016/j.scs.2021.103408,2021,Effective ventilation and air disinfection system for reducing coronavirus disease 2019 (COVID-19) infection risk in office buildings,Sustainable Cities and Society,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2021.121303,2021,"Heating, ventilation, domestic appliances – An energy integrated system concept for the household of the future",Energy,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2021.102591,2021,Decoupling the heat loss coefficient of an in-use office building into its transmission and infiltration heat loss coefficients,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.108923,2022,Study on productivity of office workers and power consumption of air conditioners in a mixed-mode ventilation building during springtime,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.109688,2022,Introducing extended natural ventilation index for buildings under the present and future changing climates,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.109358,2022,"Ventilation impacts on infection risk mitigation, improvement of environmental quality and energy efficiency for subway carriages",Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2022.104107,2022,Buoyancy-driven natural ventilation characteristics of thermal corridors in industrial buildings,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2022.104840,2022,Modeling impacts of ventilation and filtration methods on energy use and airborne disease transmission in classrooms,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2022.104401,2022,The efficiency of hybrid ventilation on cooling energy savings in NZEBs,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.109587,2022,"The use of Taguchi, ANOVA, and GRA methods to optimize CFD analyses of ventilation performance in buildings",Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2021.118122,2022,Energy performance index of air distribution: Thermal utilization effectiveness,Applied Energy,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2022.105064,2022,Analysis of energy-saving for ventilation and air-conditioning system of subway stations with platform screen doors,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jclepro.2022.130837,2022,Effect of the location pattern of rural residential buildings on natural ventilation in mountainous terrain of central China,Journal of Cleaner Production,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.109486,2022,Numerical investigation of the flow behavior of an isothermal corner impinging jet for building ventilation,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.108671,2022,Unsteady nodal modeling of building ventilation networks,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.108969,2022,Parametric study on vertical void configurations for improving ventilation performance in the mid-rise apartment building,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2022.109471,2022,Turbulence-induced ventilation of an isolated building: Ventilation route identification using spectral proper orthogonal decomposition,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.108496,2022,Optimal temperature sensor placement in buildings with buoyancy-driven natural ventilation using computational fluid dynamics and uncertainty quantification,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2021.108447,2022,Cross-ventilation of a generic building with various configurations of external and internal openings,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2022.124466,2022,"Energy, economic, and environmental impacts of enhanced ventilation strategies on railway coaches to reduce Covid-19 contagion risks",Energy,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2022.104204,2022,Assessment of ventilation rates inside educational buildings in Southwestern Europe: Analysis of implemented strategic measures,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2023.110968,2023,"A novel data-driven relationship inference approach for automatic data tagging in building heating, ventilation and air conditioning systems",Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.107425,2023,Impact of outdoor particulate matter 2.5 pollution on natural ventilation energy saving potential in office buildings in China,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106859,2023,"Air infiltration and related building energy consumption: A case study of office buildings in Changsha, China",Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2023.110621,2023,Impact of building density on natural ventilation potential and cooling energy saving across Chinese climate zones,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2023.110726,2023,"Measuring, representing and analysing indoor soundscapes: A data collection campaign in residential buildings with natural and mechanical ventilation in England",Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106045,2023,"Analysis on the energy efficiency, thermal performance and infection intervention characteristics of interactive cascade ventilation (ICV)",Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106991,2023,"An integrated pipeline for building performance analysis: Daylighting, energy, natural ventilation, and airborne contaminant dispersion",Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2023.127331,2023,An infiltration load calculation model of large-space buildings based on the grand canonical ensemble theory,Energy,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106225,2023,In situ virtual sensing for dwelling infiltration rates in multi-unit residential buildings,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.energy.2022.125942,2023,The thermal performance and applicability analysis of the composite ventilation system with heat recovery in ultra-low energy buildings,Energy,Eliminated – Ventilation/IAQ only
10.1016/j.applthermaleng.2023.120650,2023,Analysis of cooling performance and energy consumption of nocturnal radiation and natural ventilation combined mechanical refrigeration system for outdoor prefabricated substation,Applied Thermal Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106049,2023,Identification of source location in a single-sided building with natural ventilation: Case of interunit pollutant dispersion,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2023.106952,2023,Comparative studies and optimizations of air distribution of underground building ventilation systems based on response surface methodology: A case study,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.enbenv.2021.11.004,2023,Determining V-I characteristics of energy-efficient electrostatic assisted air filtration system by utilizing the back-corona induced current model,Energy and Built Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2024.109402,2024,A study on natural ventilation of dormitories for college students in northeast China during spring: A case of linear-shaped dormitory buildings,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.applthermaleng.2024.122862,2024,Balancing ventilation performance and energy conservation: An integrated multi-objective optimization and preference-based decision-making model for optimizing impinging jet ventilation,Applied Thermal Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.applthermaleng.2023.122163,2024,"Exploring the natural ventilation potential for supertall buildings considering vertical meteorology: A case study in Harbin, China",Applied Thermal Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2024.114580,2024,Physics-informed hybrid modeling methodology for building infiltration,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.apenergy.2023.121961,2024,"Assessing school ventilation strategies from the perspective of health, environment, and energy",Applied Energy,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2024.114418,2024,Climate change impact on energy savings in mixed-mode ventilation office buildings in Brazil,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.enbuild.2024.114905,2024,Research on a novel method of air distribution to create a uniform indoor environment in a long and narrow building,Energy and Buildings,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2023.111115,2024,A novel air balancing method based on an improved perceptron under multiple constraints for the energy conservation of ventilation system,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2024.111376,2024,Optimization research on the air infection intervention ability of interactive cascade ventilation in high-density building spaces,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2024.110447,2024,Implications of latent and sensible building energy loads using natural ventilation,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.jobe.2024.110168,2024,Indoor PM<ce:inf loc=post>2.5</ce:inf> and building energy consumption in nine typical residential neighborhoods in Nanjing under different ventilation strategies caused by traffic-related PM<ce:inf loc=post>2.5</ce:inf> dispersion,Journal of Building Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.applthermaleng.2023.121639,2024,Effect of airflow rate on frost formation and performance of membrane energy exchangers in sub-zero conditions,Applied Thermal Engineering,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2024.111404,2024,Opening configurations and natural cross ventilation performance in a double-loaded multi-level apartment building: A CFD analysis,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.buildenv.2024.111578,2024,A dynamic ventilation strategy for industrial buildings based on weight factors,Building and Environment,Eliminated – Ventilation/IAQ only
10.1016/j.enbenv.2024.05.003,2024,The structure of cross-ventilation flow in an isolated cylindrical building: Numerical study,Energy and Built Environment,Eliminated – Ventilation/IAQ only
