file,systems,building_modelling_terms,system_modelling_terms,weather_modelling_terms,occupancy_modelling_terms,building_paradigms,system_paradigms,weather_paradigms,occupancy_paradigms,building_paradigm_terms,system_paradigm_terms,weather_paradigm_terms,occupancy_paradigm_terms,optimization_methods,optimization_method_terms
10.1016_j.apenergy.2019.113920.json,acmv;ahu;box;central;chiller;chiller plant;coil;constant-speed;cooling coil;cooling energy;cop;damper;doas;duct;electric;fan;fresh air damper;plant;pump;regulated;regulates;return air damper;secondary cooling coil;serving;sink;sslc;storage;supplied;thermal energy;valve;vav;vsd fan,building model;rc model;state-space;state-space model,acmv;ahu;central;chiller;chiller plant;coil;cooling coil;cooling energy;cop;doas;plant;serving;sslc,NM,NM,greybox,greybox,NM,NM,4 state-space representation the building model;a first-order thermal rc model;calibrated;calibrated thermal rc model;capacitance;could be describe;describe;details are describe;first-order;ice;in a state-space model;indoor moisture describe;model was calibrated;ode;odel. the calibrated thermal rc model;odelled in the thermal rc model;order thermal rc model;rc model;rc model describe;resistance and capacitance;state-space;state-space model;study are described in section 2.3 . 2.2.3 model;the calibrated thermal rc model;the rc model;the sensors describe;the thermal rc model;the thermal rc model. the calibrated thermal rc model;used to describe;with the calibrated thermal rc model,4 state-space representation the building model;a kalman filter based;a linearized acmv model;acmv model develop;an optimization solver;by a kalman;calculation is describe;capacitance;describe;developed to describe;filter;ice;in a state-space model;indoor moisture describe;kalman;linear. incorporating with the linear acmv model;linearized;linearized acmv model;meters as describe;model is develop;ode;odel in the ssm. 2.3.1 mpc controller;odel of the doas-assisted sslc system;odel when the acmv system;odelling 2.2.1 building dynamics model;procedure is describe;script;solver;state-space;state-space model;study are describe;thermal resistance-capacitance (rc) model,NM,NM,classical_control_and_mpc,mpc
10.1016_j.apenergy.2020.115147.json,acmv;ahu;air conditioning;air-conditioning;air-handling unit;airside;box;chiller;coil;cooling coil;cooling energy;cop;damper;duct;electric;fan;fcu;fresh air damper;regulated;regulates;return air damper;sink;supplied;thermal energy;valve;vav;vsd fan,building model;simplified,acmv;ahu;air-conditioning;chiller;cooling energy;cop;fan;sink;supplied,NM,NM,greybox,greybox,NM,NM,3 mpc formulation;a dynamic ann;a numerical approximation approach and developed a mpc controller;a simplified;a simplified pmv model;ann;ann-based;approximation;as describe;but with high-fidelity;calculation equation develop;complexity and nonlinearity of the original pmv model;controller is integrated;controllers are develop;develop;developed a linearized pmv model;developed a simplified thermal comfort model;formulation;high-fidelity;ice;ida;integrated;is a quadratic;is formulated automatically using the updated model;linearity of the original pmv model;linearized;linearized pmv model;model is develop;model is nonlinear;model using ann;nonlinear;ode;of building physic;of the ann-based building model;quadratic;simple building thermodynamics model;simplified;the ann-based initial building model;the simplified;to be describe;to model nonlinear;variables as describe,3 mpc formulation;a dynamic ann;a numerical approximation approach and developed a mpc controller;ann;ann-based;approximation;arx;as describe;but with high-fidelity;controllers are develop;data as described in section 2.1 . as the mpc system;develop;developed a linearized pmv model;developed a simplified thermal comfort model;dynamics model describe;formulation;high-fidelity;ice;is a quadratic;linearized;linearized pmv model;narx;ode;odelling of the acmv system;odels for the mpc controller;of building physic;on the narx;quadratic;script;simplified;the ann-based building dynamics model;the simplified;to be describe;which is describe,NM,NM,classical_control_and_mpc;metaheuristics_and_optim;reinforcement_learning,formulated;ml-based;mpc;offline;optimizer;pid;quadratic;regulates;search
10.1016_j.apenergy.2020.115426.json,box,NM,box,NM,NM,NM,greybox,NM,NM,NM,black-box;black-box model;build a black-box model;ode,NM,NM,NM,NM
10.1016_j.apenergy.2021.117276.json,ahus;air handling units;air-conditioning;cooling energy;heater;opening,NM,cooling energy;heater,NM,NM,NM,blackbox,NM,NM,NM,4 machine-learning;achieved by svr;across the ann;analysis the svr;and cart;ann;ann and cart;cart;classification;is a classification;lti;machine-learning;mlr;ode;svm;svr;that the prediction model;the following prediction model;the svm;with the mlr,NM,NM,metaheuristics_and_optim,multi-objective
10.1016_j.apenergy.2021.117987.json,air-side;atm;coil;cooling coil;cop;economizer;fan;hvac;intake;served;supplied,NM,served,NM,NM,NM,whitebox,NM,NM,NM,simulate;used to simulate,NM,NM,NM,NM
10.1016_j.apenergy.2022.119580.json,coil;fan;hvac;served;serving,rc model;simplified;thermal dynamics,served,NM,NM,greybox,greybox,NM,NM,18 alternative rc models;6 rc model;capacitance;combinations of rc model;data of rc models;extrapolation;had some extrapolation;ice;lti;means these simplified;model the rc models;modelica.org/pyfmi/ . • rc model;ode;odelica.org/pyfmi/ . • rc model;of all rc model;of comparing rc model;parameters of rc model;parameters of rc models;rc model;rc models;represent the simplified;simplified;the rc model;was too simplified,"filter;high-fidelity;ice;low pass filter;lti;model identification;model identification, model;ode;odel identification, model;parameters of rc model;parameters of rc models;peaks created purely;purely;rc models;the high-fidelity",NM,NM,classical_control_and_mpc,mpc
10.1016_j.buildenv.2020.107089.json,air conditioning;atm;box;central;circulation;closed;duct;exhaust;hvac;position;served;supplied;vav,NM,exhaust;hvac;position;supplied,NM,NM,NM,whitebox,NM,NM,NM,5 simulate;60-min simulate;cfd to simulate;dynamics with high-fidelity;high-fidelity;ice;idating our approach to model;ode;odel the hvac system;simulate,NM,NM,classical_control_and_mpc,loop
10.1016_j.enbuild.2020.109792.json,chiller;cooling energy;cooling system;cop;hvac;opened;valve,NM,cooling system;hvac,NM,NM,NM,whitebox,NM,NM,NM,a non-calibrated;affine;and auto;and autoregressive;approach is data-driven;autoregressive;calibrated;coupled to first-principles;data-driven;first-principles;formulation;note that formulation;ode;optimization and affine,NM,NM,classical_control_and_mpc;metaheuristics_and_optim,dpc;hysteresis;robust optimization
10.1016_j.enbuild.2020.110271.json,boiler;closed;district;district heating;domestic;heating system;hvac;opening;regulated,NM,hvac;regulated,NM,NM,NM,whitebox,NM,NM,NM,calibrated;further and validated;ida;lti;national;ode;odelling approach;the uk national;validated;validated using calibrated,NM,NM,NM,NM
10.1016_j.enbuild.2020.110276.json,ahu;ahus;air handling units;central;chiller;condenser;cooling tower;direct expansion;exchanger;fan;hvac;packaged;plant;pump;regulated;rejection;tower;vav,building energy model,ahus;air handling units;chiller;condenser;cooling tower;fan;hvac;pump;tower,NM,NM,whitebox,whitebox,NM,NM,ice;ode,as-built simulation model;energy simulation;ice;ode;odel revealed that in the energy model;odel. a review of the simulation model;of the simulation model revealed that in the energy model;once the auto;revise the simulation model;revisit the energy simulation model;revisit the energy simulation model. a review of the simulation;s package;simulate;simulation model;the energy simulation model;the energy simulation model. a review of the simulation model;the simulation model;used to simulate,NM,NM,classical_control_and_mpc,loop;tuning
10.1016_j.enbuild.2021.111255.json,ahu;ahus;chiller;closed;coil;cooling coil;cooling energy;damper;district;domestic;economizer;exchanger;fan;heater;hvac;intake;plant;position;reheat;sat;served;space heating;stuck;terminal units;thermal energy;valve;vav,NM,ahu;ahus;coil;cooling coil;damper;economizer;hvac;position;valve,NM,occupant count estimation,NM,greybox,NM,NM,NM,ahu-level anomaly detection;and serves purely;anomaly detection;as the regressor;auto;detection function develops an inverse greybox model;develops an inverse greybox model;disaggregation function develops a load disaggregation model;gated;ice;intended to auto;inverse;lti;ltifaceted analytical approach;ode;purely;regressor;script;solved;the ahu anomaly detection;the inverse model;the methodology describe;which was develop;zone-level anomaly detection,NM,NM,metaheuristics_and_optim;reinforcement_learning,ga;soft
10.1016_j.enbuild.2023.113747.json,boiler;domestic;exhaust;fan;heating system;hvac;radiator;space heating,NM,boiler;exhaust;fan;heating system,NM,NM,NM,whitebox,NM,NM,NM,"4 a calibrated model;calibrated;data were validated;ida;lti;model is simulate;ode;on the simulate;shows building physics, occupants’ data, and hvac system;standard is simulate;validated",NM,NM,NM,NM
10.1016_j.enbuild.2024.114215.json,ahu;ahus;air handling unit;box;cav;central;chiller;chiller plant;circulation;closed;coil;compressor;condenser;constant-speed;cooling tower;cop;electric;exhaust;fan;fan-coil;fcu;hvac;hvacs;opened;opening;plant;pump;refrigeration;regulated;storage;tower;valve;vav,NM,hvac,NM,NM,NM,whitebox,NM,NM,NM,ice,NM,NM,NM,NM
10.1016_j.jobe.2022.104498.json,ahu;ahus;air handling units;air-side;box;chiller;coil;cooling coil;cooling tower;cop;hvac;opening;rejection;served;sub-system;tower;water-side,simplified,chiller;coil;cooling coil;hvac,NM,NM,greybox,whitebox,NM,NM,by the simplified component model;is a simplified cooling coil model;ode;simplified,china is simulate;developed in java;ice building hvac system;is a simplified cooling coil model;java;ode;platform is develop;scription of the tested hvac system;simplified;simulate;to simulate the dynamics of the hvac system;zhou,NM,NM,reinforcement_learning,agent
